lsoa,post12,post24
E01000336,39,36
E01000337,28.5,42
E01003394,30.49893699,45
E01004079,48,51
E01003393,33.19842825,42
E01003396,32.26013796,28.5
E01003395,28.3311249,51
E01000330,5.682710871,5.682710871
E01003398,27.06216409,36
E01004075,34.5,31.5
E01000331,16.43676243,16.43676243
E01003397,29.34503132,36
E01004076,50,52
E01004077,38.27580291,38.27580291
E01003399,19.79453551,19.79453551
E01004078,35.56784807,35.56784807
E01004052,19.62682399,19.62682399
E01004051,24.71527165,24.71527165
E01004050,18.34126767,18.34126767
E01000347,25.61930337,31.5
E01000348,30.37440958,30.37440958
E01000349,22.12702293,22.12702293
E01000343,24.1924718,34.5
E01000344,20.74535058,89
E01000345,16.93711341,52.5
E01000346,23.06268076,33
E01004044,26.16939509,30.33041125
E01000340,34.52945611,33
E01004045,21.51160695,21.51160695
E01000341,28.17886808,36
E01004042,31.25876329,31.25876329
E01000342,24.78252391,46.5
E01004043,29.75251943,29.75251943
E01004048,28.90806505,28.90806505
E01004049,25.40994072,25.40994072
E01004046,18.76924233,18.76924233
E01004047,24.2506071,24.2506071
E01004061,11.04204975,11.04204975
E01004060,24.87638048,39.83041294
E01004063,11.34294727,11.34294727
E01004062,10.94621473,10.94621473
E01000358,18.09576017,18.09576017
E01000359,33.38382874,33.38382874
E01000356,24.60194035,24.60194035
E01000357,29.28879651,29.28879651
E01000354,27.69332765,27.69332765
E01000355,19.16259836,19.16259836
E01004053,20.97236847,43.5
E01000352,29.73911265,36.80236002
E01004054,13.19601359,39.22961561
E01000353,21.8071359,21.8071359
E01004055,17.33204003,47
E01000350,18.87519298,43.5
E01004056,16.98588962,53
E01000351,22.65233251,33
E01004057,22.84506916,43.5
E01004058,26.51682454,48
E01004059,28.93647417,36
E01001410,25.35154242,49
E01001411,14.23660584,63
E01001412,63,52
E01001413,22.7231898,49
E01001414,25.3649648,46
E01001415,42,42
E01001416,48,48
E01001417,49,49
E01001419,33,37.5
E01001418,42,43.5
E01001420,54,48
E01001423,8.905401995,8.905401995
E01001424,3.980971349,3.980971349
E01001421,54,48
E01001422,50,56
E01001427,20.41995839,20.41995839
E01001428,7.529061785,7.529061785
E01001425,9.079417322,9.079417322
E01001426,7.034478363,7.034478363
E01001429,4.983723251,4.983723251
E01004087,39,33
E01004086,28.5,48
E01001430,4.662344686,4.662344686
E01004089,36,33
E01001431,9.811075433,9.811075433
E01004088,39.31412296,39.31412296
E01001436,55.5,55.5
E01001437,46,45
E01001438,51,48
E01001439,35.79176032,46.5
E01001432,10.51363817,10.51363817
E01001433,58.5,47
E01001434,57,45
E01001435,58.5,57
E01004090,23.15159215,23.15159215
E01004091,28.09999274,28.09999274
E01004092,19.41010913,19.41010913
E01004093,22.37187838,22.37187838
E01004094,29.08583018,29.08583018
E01004095,19.32019062,19.32019062
E01004096,14.95960002,14.95960002
E01001441,51,58.5
E01001442,54,54
E01004099,30.6124225,30.6124225
E01004098,24.13860903,24.13860903
E01001440,33.437906,42
E01004097,16.82919384,16.82919384
E01001449,49.5,48
E01001447,50,64.5
E01001448,54,61.5
E01001445,48,47
E01001446,51,52.5
E01001444,45,57
E01002865,7.696613283,12.80227617
E01001455,27.31577314,36.64758091
E01002864,9.923866388,11.92873513
E01001454,29.21896623,60
E01002863,12.73347644,30.63954496
E01001457,14.71662138,61.5
E01002862,19.15010539,43.5
E01001456,33.41479803,45
E01002869,12.12901832,12.12901832
E01001459,18.33648082,18.33648082
E01002868,6.81531711,6.81531711
E01001458,18.9332472,18.9332472
E01002867,10.97001415,17.37127365
E01002866,13.68814848,13.68814848
E01002861,14.66569479,34.5
E01001451,15.02145493,52.5
E01002860,16.27148403,36.17542398
E01001450,12.70923986,72
E01001453,31.45929335,55.5
E01001452,24.1715817,54
E01001468,32.15591326,47
E01002874,11.7418335,11.7418335
E01001467,18.04765079,18.04765079
E01002873,11.7438202,11.7438202
E01001466,14.52881846,14.52881846
E01002876,26.21363397,26.21363397
E01001465,22.48148402,22.48148402
E01002875,6.308116833,6.308116833
E01002878,18.52810986,18.52810986
E01002877,21.45209683,21.45209683
E01001469,21.11497655,57
E01002879,14.79494557,14.79494557
E01001460,10.06093001,10.06093001
E01001464,13.95462082,13.95462082
E01002870,14.75282354,14.75282354
E01001463,18.48509922,18.48509922
E01001462,13.48008423,13.48008423
E01002872,9.622377925,9.622377925
E01001461,17.38622231,17.38622231
E01002871,5.219832141,5.219832141
E01033597,7.33983828,39
E01033596,6.126145811,6.126145811
E01033599,4.786560517,38.15619884
E01033598,9.187953969,48
E01033591,8.383425724,8.383425724
E01033590,51,37.5
E01033593,2.888471599,35.46531524
E01033592,40.5,37.5
E01033595,2.80914579,2.80914579
E01033594,5.103878515,33.96282681
E01002889,11.17826278,18.15584904
E01002888,11.0936731,26.14554066
E01002887,14.93188443,28.25316266
E01001477,31.56998613,31.56998613
E01002886,10.69507328,10.69507328
E01001476,31.45433771,31.45433771
E01002885,10.51212517,10.51212517
E01001479,22.28307746,22.28307746
E01002884,7.911437049,7.911437049
E01001478,26.41880077,26.41880077
E01002883,4.113050823,4.113050823
E01001473,31.89051907,47
E01002882,6.331195755,6.331195755
E01001472,14.01589137,66
E01002881,13.49678755,13.49678755
E01001475,42,54
E01002880,17.58816592,17.58816592
E01001474,20.76532506,45
E01001471,25.16167891,46
E01001470,37.47670166,61.5
E01002899,19.27296829,37.71637564
E01002896,19.71089377,39.44766254
E01002895,21.77468052,45
E01001489,18.73990041,18.73990041
E01002898,15.66894971,34.63039844
E01001488,15.89322759,15.89322759
E01002897,14.25633457,43.5
E01001487,17.90614281,17.90614281
E01002892,17.07614545,28.61497686
E01001486,11.91714208,11.91714208
E01002891,16.85084418,24.80104084
E01001485,10.20633226,10.20633226
E01002894,14.94003773,35.06345394
E01001484,32.17166786,32.17166786
E01002893,16.10852802,38.69680517
E01001483,28.28653841,28.28653841
E01001482,23.57244224,23.57244224
E01001481,27.78722016,27.78722016
E01002890,11.39829987,22.30857624
E01001480,23.18416388,23.18416388
E01033455,38.7980086,34.5
E01033456,52,58.5
E01033457,24.78539735,24.78539735
E01002739,20.78859338,30.50800788
E01002738,25.05667871,25.05667871
E01003533,16.75953623,16.75953623
E01002732,7.46438119,36.48470473
E01002007,34.34082743,46.5
E01003534,21.91205731,21.91205731
E01002733,3.778267984,40.5
E01002006,28.19381908,47
E01003535,18.1395173,18.1395173
E01002730,5.030589218,46.5
E01002005,30.0528848,48
E01003536,15.34750012,25.87658946
E01002731,3.235134956,34.5
E01002004,12.68934645,26.37933926
E01003537,11.35230478,34.99645624
E01002736,5.679068775,40.5
E01003538,13.50474892,33.76331951
E01002737,2.804275067,42
E01003539,19.16190342,52
E01002734,9.039122224,36.86295915
E01002009,32.56193345,47
E01002735,10.53457936,39.30335841
E01002008,47,49
E01002003,11.19180861,21.88242579
E01003530,19.25203735,25.78192965
E01002002,22.84165004,37.15125966
E01003531,16.45314301,19.16058394
E01002001,17.10944836,37.73885386
E01003532,15.6674576,24.81914527
E01002000,11.39297166,31.39279182
E01033464,46,56
E01002728,5.210785663,5.210785663
E01002727,6.834055076,6.834055076
E01002729,7.056229875,7.056229875
E01033463,40.5,51
E01003546,13.30481577,13.30481577
E01002016,2.314438725,28.43075812
E01003547,10.85177299,10.85177299
E01002015,6.322727796,26.86660826
E01002720,25.58408297,25.811873
E01003544,15.12383947,15.12383947
E01002018,12.29020075,20.10579863
E01002721,20.31243155,26.46775608
E01003545,16.70675833,16.70675833
E01002017,4.733305349,29.80299743
E01002722,20.74840076,23.94132757
E01002723,11.82690739,12.15296651
E01002019,19.19679959,33.30243407
E01002724,13.02325062,13.02325062
E01003548,22.99106646,22.99106646
E01002725,12.3112239,12.3112239
E01003549,21.16526684,21.16526684
E01002726,11.8624975,11.8624975
E01002010,39,53
E01003542,9.127779735,25.65956946
E01003543,11.0274638,11.0274638
E01002011,34.56298661,47
E01003540,17.08729149,32.87301258
E01002014,3.534132214,23.33428118
E01003541,18.27935399,67
E01002013,11.23722174,23.64573709
E01002719,22.6737933,22.6737933
E01003519,16.24717032,55
E01002718,25.18852511,26.17354631
E01002717,27.06935835,27.06935835
E01002716,23.03813229,23.03813229
E01003515,23.45707687,54
E01002714,12.97166457,12.97166457
E01003516,14.94054421,48
E01002715,14.31790876,14.31790876
E01003517,11.90976221,49
E01002712,18.2516064,18.2516064
E01003518,19.38073532,57
E01002713,22.04688984,22.04688984
E01003511,12.78133987,55
E01002710,9.085371447,9.085371447
E01003512,16.24361596,50
E01002711,9.596124352,9.596124352
E01003513,26.97431986,61
E01003514,22.32792634,56
E01002709,12.42015137,12.42015137
E01002706,6.449702922,22.65642492
E01002708,19.78417565,19.78417565
E01002707,10.69157674,10.69157674
E01002701,2.589874279,23.50275438
E01003528,22.56651924,24.96974962
E01002702,4.370876601,17.82815287
E01003529,19.66163244,21.8754186
E01002703,9.201306656,16.36918514
E01003526,2.625676389,30.14954672
E01002704,9.705685972,29.08427257
E01003527,7.142379359,33.10062805
E01003524,8.619554354,26.65213434
E01003525,4.546616053,30.14045713
E01003522,8.659729102,25.2916275
E01002700,9.962299174,9.962299174
E01003523,2.560368689,25.98537611
E01003520,10.83589627,24.07248233
E01003521,5.637689995,27.22557092
E01001528,34.04479777,34.04479777
E01001529,37.44591526,37.44591526
E01002050,18.27763224,37.66550376
E01002042,25.02052929,37.74982216
E01002043,24.66498499,33.63233877
E01002040,20.72885052,34.10849985
E01002041,19.08808227,34.86418144
E01002046,20.19145848,39.68863607
E01002047,22.2257599,39.09045435
E01002044,19.23182639,34.94585034
E01002045,20.43149349,42
E01001521,48,40.5
E01001520,48,40.5
E01002048,19.80157107,29.49145221
E01001523,51,55.5
E01002049,20.40278088,36.28562813
E01001522,38.21133786,61.5
E01001525,52,37.5
E01001524,48,45
E01001527,28.91342514,28.91342514
E01001526,51,49.5
E01001519,34.5,28.5
E01003508,7.851772108,51
E01001517,32.36813903,51
E01003509,6.005262262,52
E01001518,13.54892532,89
E01033424,27.53181606,27.53181606
E01002061,16.25570804,40.5
E01002060,9.691423272,36.16101921
E01002051,18.90044357,36.58818281
E01002052,18.35821757,39.65245387
E01002053,22.40916726,34.34767795
E01002054,23.69411898,36.46251451
E01002055,22.54400691,32.87732701
E01002056,28.46599039,33.55110911
E01002057,28.08800377,37.63594113
E01002058,25.2521552,37.5503918
E01003503,15.37042047,37.5
E01002059,8.783526386,33.30072446
E01001512,10.88087281,65
E01003502,11.90075226,40.5
E01001511,25.28915569,40.5
E01003501,8.324962849,43.5
E01001510,39.33191418,39.33191418
E01003500,21.96657105,46.5
E01003507,2.09569716,49
E01001516,25.64447504,54
E01003506,19.28961467,47
E01001515,24.74785458,38.32680795
E01001514,19.96677007,63
E01001513,22.82746989,43.5
E01001506,31.24283839,31.24283839
E01001507,39.06317613,28.5
E01001508,34.58644307,43.5
E01001509,40.5,55.5
E01002024,10.98774502,30.64390188
E01002025,25.8644802,57
E01002022,32.13021424,39.95684312
E01002023,28.30867148,38.18950139
E01002020,23.74911007,30.66940645
E01002021,15.23025131,26.88942295
E01001503,35.40598939,35.40598939
E01001502,37.63410082,37.63410082
E01001505,35.29535585,49.5
E01001504,42,55.5
E01002028,17.31425993,17.31425993
E01002029,7.359382721,7.359382721
E01002026,11.91225813,11.91225813
E01001501,24.78006455,24.78006455
E01002027,15.50156036,15.50156036
E01001500,26.64738743,26.64738743
E01002033,10.68046688,10.68046688
E01002034,25.66857124,27.24688409
E01002036,25.75296124,25.75296124
E01002030,13.39434879,13.65962683
E01002031,15.80683292,16.28420534
E01002032,12.76030842,12.76030842
E01002037,29.9563376,29.9563376
E01002038,18.94421255,33.80036843
E01002039,25.05724742,30.5997727
E01000432,33,22.5
E01000431,42,39
E01000434,47,49
E01000433,27,21
E01000436,29.57722029,29.57722029
E01000435,36.77728958,36.77728958
E01000438,34.83720627,34.83720627
E01000437,33.47541573,33.47541573
E01000430,63,57
E01000439,33.43828403,33.43828403
E01000423,23.30682466,40.5
E01000422,35.05523847,35.05523847
E01000421,36.54606186,36.54606186
E01000420,43.5,74
E01000427,14.93030084,39
E01000426,15.68430076,39
E01000425,14.99386019,63
E01000424,5.619752516,62
E01000428,21.1508455,71
E01000429,37.5,33
E01030820,77,69
E01000414,25.5,19.5
E01000413,33.24282363,45
E01000416,33.54148541,33.54148541
E01000415,31.5,31.5
E01000410,33,40.5
E01000412,36.71967478,54
E01003599,18.49876466,22.68845095
E01000411,36.67823531,42
E01003597,19.450369,19.450369
E01003598,19.86336379,22.72893577
E01003595,12.04241326,29.32581741
E01003596,18.8060647,18.8060647
E01003593,15.17113816,30.92760618
E01003594,9.991721031,32.16517648
E01003591,20.64019763,20.64019763
E01003592,16.6148236,23.77888383
E01000417,34.59394332,34.59394332
E01000418,38.82005061,38.82005061
E01000419,37.2232921,37.2232921
E01000405,31.5,55.5
E01000404,30,45
E01000403,33,37.5
E01000402,25.5,49.5
E01000401,34.48528848,34.48528848
E01000400,31.42046404,31.42046404
E01000408,49.5,45
E01000409,31.5,36
E01000406,42,42
E01000407,24,39
E01003572,9.494778597,9.494778597
E01003571,5.190217172,5.190217172
E01004214,29.66320069,63
E01003570,2.268742139,2.268742139
E01004211,8.659022862,8.659022862
E01004212,4.974015275,4.974015275
E01003576,21.52408372,21.52408372
E01003575,25.7136606,28.13553717
E01003574,13.03531331,13.03531331
E01003573,9.250335449,9.250335449
E01003579,26.22465902,26.22465902
E01003578,28.79014866,28.79014866
E01004219,18.02785017,52
E01003577,19.01124195,19.01124195
E01004217,29.07915302,50
E01004218,32.68981113,50
E01004215,26.86698711,63
E01004216,35.16690714,78
E01003581,26.33785513,26.33785513
E01004200,10.02707296,10.02707296
E01003580,22.79034055,22.79034055
E01004201,9.535704152,9.535704152
E01003583,26.61526708,26.61526708
E01004202,12.76360572,12.76360572
E01003582,23.11774138,23.11774138
E01004203,6.652561064,6.652561064
E01003585,23.04001328,23.04001328
E01003584,12.91038105,12.91038105
E01003587,15.99291773,15.99291773
E01003586,10.59154129,10.59154129
E01003589,15.79646187,15.79646187
E01004208,11.14181424,11.14181424
E01003588,14.16467579,14.16467579
E01004209,3.381042108,3.381042108
E01004204,11.05667724,11.05667724
E01004205,12.37171715,12.53248576
E01004206,8.520374983,8.520374983
E01004207,8.909880035,8.909880035
E01030860,59,49.5
E01003590,20.19659316,20.19659316
E01003554,18.79318752,18.79318752
E01004231,30.18518315,30.18518315
E01003553,18.45108238,18.45108238
E01004232,19.22056993,19.22056993
E01003552,11.68176486,11.68176486
E01003551,13.28583751,13.28583751
E01004230,16.35922945,16.35922945
E01003550,16.37483343,16.37483343
E01004235,32.24558843,39.66405942
E01004236,30.27674553,39
E01004233,22.21123717,22.21123717
E01004234,16.58915447,16.58915447
E01004239,24.24927482,37.96625222
E01030859,63,52.5
E01004237,28.65157737,36.25096359
E01003559,22.42947121,22.42947121
E01004238,27.67041405,49.5
E01003558,7.437657552,7.437657552
E01030857,46,57
E01003557,13.15998389,13.15998389
E01030856,61,59
E01003556,5.053409809,5.053409809
E01003555,5.100403505,5.100403505
E01030854,52.5,52.5
E01030852,80,600
E01030853,46.5,46.5
E01003563,11.55231003,11.55231003
E01003562,7.692144434,7.692144434
E01003565,16.72518174,16.72518174
E01004221,24.33203278,53
E01003564,11.26433499,11.26433499
E01004222,26.21710819,26.21710819
E01004223,30.03832112,30.03832112
E01004224,37.5953007,37.5953007
E01003561,5.416774909,5.416774909
E01004225,33.67428593,34.62561437
E01003560,9.030010567,9.030010567
E01004226,26.42103494,26.42103494
E01004228,21.38684592,21.38684592
E01004229,25.28777454,25.28777454
E01030844,50,61
E01003567,3.38756378,3.38756378
E01003566,15.1596356,15.1596356
E01003569,15.01611692,15.01611692
E01030845,55,47
E01003568,17.51977874,17.51977874
E01004129,31.49558208,18
E01004128,31.5689892,31.5689892
E01004127,34.15311789,34.15311789
E01004122,11.41031615,34.5
E01004121,4.326684342,39
E01004120,27.00982005,38.21916379
E01004126,32.69681411,36.41768222
E01004125,29.92185236,39.40485306
E01004124,39.27022203,39.27022203
E01004123,32.09907097,38.44844284
E01004140,13.10257273,13.10257273
E01004139,9.644364394,9.644364394
E01004138,12.73756046,12.73756046
E01004131,27.68215344,37.69321052
E01004130,32.81538911,32.81538911
E01004133,30.53005834,30.53005834
E01004132,26.85430497,35.39770379
E01004135,45,43.5
E01004134,34.39523832,28.5
E01004137,5.974000937,5.974000937
E01004136,31.30546029,39.8982048
E01004150,5.599276763,5.599276763
E01004151,9.126955081,9.126955081
E01000487,38.03927086,38.03927086
E01000486,63,60
E01000489,23.4156799,46
E01000488,30.01605683,54
E01004149,18.4484503,18.4484503
E01004148,21.48852068,21.48852068
E01004147,23.85554735,23.85554735
E01004146,20.60089604,20.60089604
