"","GSS_CODE","x","y"
"118","E05000307",557045.30774224,188096.56428004
"119","E05000313",550647.64089345,192701.43404211
"120","E05000314",553065.85030475,191854.02785786
"121","E05000310",554575.50836472,193036.02143847
"122","E05000315",552473.57277538,187248.78870527
"123","E05000331",507133.07082132,176494.14471459
"124","E05000330",505637.84807235,189946.44938986
"125","E05000342",506269.56493003,179300.61323331
"126","E05000345",506530.77967833,180789.9708464
"127","E05000341",505215.06427365,182881.89313551
"128","E05000326",506640.21225239,182143.58115991
"129","E05000340",506561.64329126,184237.68139397
"130","E05000332",508424.45554722,183779.58234701
"131","E05000333",506816.556343,186227.08317417
"132","E05000343",508327.90028107,188071.14369009
"133","E05000335",508359.4716966,190818.83521694
"134","E05000338",510421.53980376,185232.0255389
"135","E05000334",510025.59519388,186721.56293149
"136","E05000329",510102.65875729,188340.59713902
"137","E05000336",510252.16922105,190086.16482881
"138","E05000337",508837.9454404,178900.90136966
"139","E05000325",508827.47968491,180430.4547769
"140","E05000328",509220.54148504,182657.8685614
"141","E05000339",510453.84874523,180375.92743467
"142","E05000324",510599.69707086,181900.03615297
"143","E05000344",511856.28262739,181705.2746516
"144","E05000327",511225.33027414,186934.71561865
"145","E05000302",513473.85005177,185794.28189529
"146","E05000289",515155.06432801,186796.80947776
"147","E05000297",511637.5344151,190596.24016888
"148","E05000298",511977.3729307,188673.20071642
"149","E05000288",515667.84485361,188345.79170627
"150","E05000292",513415.85852129,189651.84084984
"151","E05000296",515475.66062945,189537.05474182
"152","E05000290",514550.96353816,191916.96420009
"153","E05000303",516075.80493166,192363.16273842
"154","E05000286",517385.32390962,192936.05847134
"155","E05000300",512651.55578022,187354.15102097
"156","E05000301",513233.03941099,186508.24175021
"157","E05000305",513925.03965119,187825.05052902
"158","E05000291",512872.74842034,191400.43020819
"159","E05000293",514333.29820189,188833.42569295
"160","E05000295",516745.41974751,189331.88947171
"161","E05000304",515269.8551486,190308.50323856
"162","E05000285",517133.00246657,190865.33238664
"163","E05000294",518202.403634,189326.16255633
"164","E05000299",518095.88419239,190194.04977669
"165","E05000287",519243.10286438,190768.85711731
"166","E05000096",516674.75930585,186913.15350704
"167","E05000104",518158.732264,184828.33127059
"168","E05000097",518129.02341445,186626.96105231
"169","E05000100",520286.46646796,183990.57667787
"170","E05000103",520850.11741109,186737.25081497
"171","E05000086",519334.09795158,187209.16014798
"172","E05000090",520302.87302126,188447.70662096
"173","E05000101",516917.23989324,185492.20843404
"174","E05000085",518373.74746657,183775.42171747
"175","E05000092",522391.96669018,183259.20243105
"176","E05000091",521408.59139963,183898.51344244
"177","E05000105",522490.05567899,184434.73916562
"178","E05000098",523986.41072376,183318.73325434
"179","E05000087",523611.72291858,184168.09936382
"180","E05000094",525030.213953,183536.45969322
"181","E05000102",519452.22663942,185277.00884496
"182","E05000093",517893.18155562,188310.9506826
"183","E05000089",522007.55999713,185390.63376179
"184","E05000088",522328.67019102,186524.89161682
"185","E05000095",523592.9777549,185383.95567177
"186","E05000099",519731.00279018,189577.72902639
"187","E05000060",523346.96604907,195437.08951581
"188","E05000056",523747.49709249,196638.65669626
"189","E05000062",522374.24448195,188088.20886747
"190","E05000053",523953.50520042,187729.71055186
"191","E05000046",521624.20289537,189816.1642683
"192","E05000045",524677.00046094,186664.64596433
"193","E05000052",525973.72954331,188464.54805974
"194","E05000051",524693.88999756,190136.32460836
"195","E05000049",526930.1010533,190055.14640721
"196","E05000050",519035.41892581,193348.72058075
"197","E05000057",523019.54912727,192050.59675808
"198","E05000054",520763.01909309,193360.42253253
"199","E05000059",524601.60519847,193871.14310993
"200","E05000058",526699.33930104,194418.469385
"201","E05000063",526689.5189626,191814.98590462
"202","E05000047",528068.33839783,191879.71278331
"203","E05000043",528501.57248037,193827.01087084
"204","E05000048",527333.16711486,195816.43341297
"205","E05000044",520622.82988232,190844.76351833
"206","E05000055",523100.57068401,189524.60816845
"207","E05000061",525619.59341544,191369.21329873
"208","E05000431",530105.10146038,170365.05674728
"209","E05000428",529852.89206785,171743.89885235
"210","E05000432",530660.58233043,171781.25331886
"211","E05000424",531634.23129663,171729.22355001
"212","E05000433",529579.46478567,173650.92409683
"213","E05000430",530607.39612446,172979.43173173
"214","E05000418",529348.58700094,174675.18674829
"215","E05000417",530455.50438273,174319.67555563
"216","E05000435",531062.12715144,173975.99038616
"217","E05000420",531493.13890169,175557.54868658
"218","E05000421",530581.41819195,175546.69595612
"219","E05000425",530067.35138864,176085.54490583
"220","E05000426",530764.80700481,177640.82315536
"221","E05000436",531417.4324178,176794.6006703
"222","E05000422",532744.52474961,171550.49346528
"223","E05000434",532101.02699745,173067.77411953
"224","E05000423",532006.72658167,175037.40923179
"225","E05000416",530952.77044237,179749.40894126
"226","E05000419",529184.39980365,175664.94527401
"227","E05000429",530357.45488972,176776.50949209
"228","E05000427",530976.25361863,178488.01410182
"229","E05000538",533753.9770869,172529.86450044
"230","E05000548",533983.71169086,179738.91487911
"231","E05000554",533044.89310065,174046.37922458
"232","E05000551",533229.67395856,175542.66750365
"233","E05000539",533982.37773819,174633.59439893
"234","E05000547",535056.58614952,174768.69453011
"235","E05000535",532348.55338954,177067.17994249
"236","E05000534",533088.01141745,176713.26805073
"237","E05000553",534229.70957669,176138.01023095
"238","E05000545",535244.18438179,176134.07119315
"239","E05000546",533905.17458419,177178.46810335
"240","E05000544",531926.11116492,178088.61535921
"241","E05000541",532832.45210032,177927.1097847
"242","E05000540",533073.0606893,178407.65722254
"243","E05000543",534757.09442047,177720.97130981
"244","E05000550",534297.23812517,178504.0964901
"245","E05000536",531915.34377223,179877.53485786
"246","E05000542",533458.25694761,179296.59363521
